BioSIM Version;0.0.0.1;;;;;;;;
;;;;;;;;;
Sample:;;;;;;;;;
Label;JFR Test10;;;;;;;;
Operator;JG & JFR;;;;;;;;
Date;2026_08_31_11-44;;;;;;;;
;;;;;;;;;
Circulation Temperature [°C];20,00;;;;;;;;
Flow Rate [L/min];0,00;;;;;;;;
Test Duration [mm:ss];Test_Duration;;;;;;;;
;;;;;;;;;
PID setup:;;;;;;;;;
Proportional Gain;-40.9644521368347654;;;;;;;;
Integral time (min);00:06;;;;;;;;
Derivative time (min);0,000000;;;;;;;;
;;;;;;;;;
Calibration Values:;;;;;;;;;
B0_100;3746,600000;3750,100000;3743,800000;3749,400000;3745,300000;3741,200000;3742,300000;3742,500000;
R25;2,253500;2,265200;2,263100;2,263100;2,263100;2,250100;2,254900;2,267600;
R_S;10,000000;;;;;;;;
;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
